Wavelength,n,k
0.437,0.047567,2.457818
0.438,0.047613,2.46815
0.439,0.047663,2.478444
0.44,0.047717,2.488701
0.441,0.047773,2.498922
0.442,0.047833,2.509107
0.443,0.047895,2.519258
0.444,0.047961,2.529374
0.445,0.048028,2.539457
0.446,0.048098,2.549507
0.447,0.04817,2.559525
0.448,0.048244,2.569511
0.449,0.04832,2.579466
0.45,0.048398,2.589391
0.451,0.048477,2.599285
0.452,0.048557,2.60915
0.453,0.048639,2.618987
0.454,0.048722,2.628795
0.455,0.048806,2.638575
0.456,0.048891,2.648328
0.457,0.048976,2.658054
0.458,0.049063,2.667754
0.459,0.04915,2.677428
0.46,0.049238,2.687077
0.461,0.049326,2.696701
0.462,0.049414,2.7063
0.463,0.049503,2.715875
0.464,0.049592,2.725427
0.465,0.049682,2.734955
0.466,0.049771,2.74446
0.467,0.049861,2.753943
0.468,0.049951,2.763405
0.469,0.05004,2.772844
0.47,0.05013,2.782262
0.471,0.050219,2.791659
0.472,0.050309,2.801036
0.473,0.050398,2.810392
0.474,0.050487,2.819729
0.475,0.050576,2.829046
0.476,0.050664,2.838343
0.477,0.050752,2.847622
0.478,0.05084,2.856882
0.479,0.050928,2.866124
0.48,0.051015,2.875348
0.481,0.051101,2.884554
0.482,0.051188,2.893743
0.483,0.051274,2.902915
0.484,0.051359,2.912069
0.485,0.051444,2.921207
0.486,0.051528,2.930329
0.487,0.051612,2.939435
0.488,0.051696,2.948525
0.489,0.051779,2.957599
0.49,0.051861,2.966658
0.491,0.051943,2.975702
0.492,0.052025,2.984731
0.493,0.052105,2.993746
0.494,0.052186,3.002745
0.495,0.052266,3.011731
0.496,0.052345,3.020703
0.497,0.052424,3.029661
0.498,0.052502,3.038605
0.499,0.052579,3.047536
0.5,0.052657,3.056454
0.501,0.052733,3.065359
0.502,0.052809,3.074251
0.503,0.052885,3.083131
0.504,0.05296,3.091998
0.505,0.053034,3.100852
0.506,0.053108,3.109695
0.507,0.053181,3.118526
0.508,0.053254,3.127345
0.509,0.053326,3.136152
0.51,0.053398,3.144948
0.511,0.053469,3.153733
0.512,0.05354,3.162507
0.513,0.053611,3.17127
0.514,0.05368,3.180022
0.515,0.05375,3.188763
0.516,0.053819,3.197494
0.517,0.053887,3.206214
0.518,0.053955,3.214925
0.519,0.054023,3.223625
0.52,0.05409,3.232315
0.521,0.054156,3.240995
0.522,0.054223,3.249666
0.523,0.054288,3.258327
0.524,0.054354,3.266979
0.525,0.054419,3.275621
0.526,0.054484,3.284254
0.527,0.054548,3.292878
0.528,0.054612,3.301493
0.529,0.054675,3.3101
0.53,0.054738,3.318697
0.531,0.054801,3.327286
0.532,0.054864,3.335866
0.533,0.054926,3.344438
0.534,0.054988,3.353002
0.535,0.055049,3.361557
0.536,0.05511,3.370104
0.537,0.055171,3.378644
0.538,0.055232,3.387175
0.539,0.055292,3.395699
0.54,0.055352,3.404214
0.541,0.055412,3.412722
0.542,0.055472,3.421223
0.543,0.055531,3.429716
0.544,0.05559,3.438202
0.545,0.055649,3.44668
0.546,0.055708,3.455151
0.547,0.055766,3.463615
0.548,0.055825,3.472073
0.549,0.055883,3.480523
0.55,0.055941,3.488966
0.551,0.055999,3.497402
0.552,0.056056,3.505832
0.553,0.056114,3.514255
0.554,0.056171,3.522671
0.555,0.056228,3.531081
0.556,0.056285,3.539485
0.557,0.056342,3.547882
0.558,0.056399,3.556273
0.559,0.056456,3.564657
0.56,0.056512,3.573036
0.561,0.056569,3.581408
0.562,0.056625,3.589774
0.563,0.056682,3.598135
0.564,0.056738,3.606489
0.565,0.056794,3.614838
0.566,0.05685,3.623181
0.567,0.056907,3.631518
0.568,0.056963,3.639849
0.569,0.057019,3.648175
0.57,0.057075,3.656495
0.571,0.057131,3.66481
0.572,0.057187,3.673119
0.573,0.057243,3.681423
0.574,0.057299,3.689722
0.575,0.057355,3.698015
0.576,0.057412,3.706303
0.577,0.057468,3.714586
0.578,0.057524,3.722864
0.579,0.05758,3.731137
0.58,0.057636,3.739404
0.581,0.057693,3.747667
0.582,0.057749,3.755925
0.583,0.057805,3.764178
0.584,0.057862,3.772426
0.585,0.057919,3.780669
0.586,0.057975,3.788908
0.587,0.058032,3.797142
0.588,0.058089,3.805371
0.589,0.058146,3.813596
0.59,0.058203,3.821816
0.591,0.05826,3.830031
0.592,0.058317,3.838242
0.593,0.058375,3.846449
0.594,0.058432,3.854651
0.595,0.05849,3.862849
0.596,0.058548,3.871042
0.597,0.058606,3.879231
0.598,0.058664,3.887417
0.599,0.058722,3.895597
0.6,0.058781,3.903774
0.601,0.058839,3.911946
0.602,0.058898,3.920115
0.603,0.058957,3.928279
0.604,0.059016,3.936439
0.605,0.059075,3.944596
0.606,0.059135,3.952748
0.607,0.059194,3.960896
0.608,0.059254,3.969041
0.609,0.059314,3.977181
0.61,0.059375,3.985318
0.611,0.059435,3.993451
0.612,0.059496,4.00158
0.613,0.059557,4.009706
0.614,0.059618,4.017828
0.615,0.059679,4.025946
0.616,0.05974,4.03406
0.617,0.059802,4.042171
0.618,0.059864,4.050278
0.619,0.059926,4.058382
0.62,0.059989,4.066482
0.621,0.060052,4.074579
0.622,0.060115,4.082672
0.623,0.060178,4.090762
0.624,0.060241,4.098848
0.625,0.060305,4.106932
0.626,0.060369,4.115011
0.627,0.060433,4.123087
0.628,0.060498,4.13116
0.629,0.060562,4.13923
0.63,0.060628,4.147296
0.631,0.060693,4.15536
0.632,0.060758,4.16342
0.633,0.060824,4.171477
0.634,0.06089,4.17953
0.635,0.060957,4.187581
0.636,0.061024,4.195628
0.637,0.061091,4.203672
0.638,0.061158,4.211714
0.639,0.061226,4.219752
0.64,0.061293,4.227787
0.641,0.061362,4.235819
0.642,0.06143,4.243849
0.643,0.061499,4.251875
0.644,0.061568,4.259898
0.645,0.061638,4.267919
0.646,0.061707,4.275936
0.647,0.061777,4.283951
0.648,0.061848,4.291963
0.649,0.061918,4.299972
0.65,0.061989,4.307978
0.651,0.062061,4.315981
0.652,0.062132,4.323982
0.653,0.062204,4.33198
0.654,0.062277,4.339975
0.655,0.062349,4.347967
0.656,0.062422,4.355957
0.657,0.062496,4.363944
0.658,0.062569,4.371929
0.659,0.062643,4.37991
0.66,0.062717,4.387889
0.661,0.062792,4.395866
0.662,0.062867,4.40384
0.663,0.062942,4.411811
0.664,0.063018,4.41978
0.665,0.063094,4.427746
0.666,0.06317,4.43571
0.667,0.063247,4.443671
0.668,0.063324,4.45163
0.669,0.063402,4.459587
0.67,0.063479,4.46754
0.671,0.063558,4.475492
0.672,0.063636,4.483441
