Wavelength,n,k
0.437,3.775268,1.569155
0.438,3.778609,1.564102
0.439,3.781919,1.559057
0.44,3.785198,1.554018
0.441,3.788446,1.548986
0.442,3.791664,1.543962
0.443,3.794851,1.538945
0.444,3.798008,1.533935
0.445,3.801135,1.528933
0.446,3.804233,1.523939
0.447,3.8073,1.518952
0.448,3.810339,1.513973
0.449,3.813348,1.509001
0.45,3.816328,1.504038
0.451,3.81928,1.499083
0.452,3.822203,1.494136
0.453,3.825097,1.489198
0.454,3.827964,1.484267
0.455,3.830802,1.479345
0.456,3.833613,1.474432
0.457,3.836396,1.469527
0.458,3.839151,1.46463
0.459,3.841879,1.459743
0.46,3.84458,1.454864
0.461,3.847255,1.449994
0.462,3.849902,1.445133
0.463,3.852523,1.440281
0.464,3.855118,1.435438
0.465,3.857687,1.430604
0.466,3.860229,1.425779
0.467,3.862746,1.420964
0.468,3.865237,1.416158
0.469,3.867703,1.411361
0.47,3.870144,1.406573
0.471,3.872559,1.401796
0.472,3.87495,1.397027
0.473,3.877316,1.392268
0.474,3.879657,1.387519
0.475,3.881974,1.38278
0.476,3.884267,1.37805
0.477,3.886536,1.37333
0.478,3.888781,1.36862
0.479,3.891002,1.36392
0.48,3.893199,1.359229
0.481,3.895374,1.354549
0.482,3.897525,1.349879
0.483,3.899653,1.345218
0.484,3.901758,1.340568
0.485,3.90384,1.335928
0.486,3.9059,1.331298
0.487,3.907938,1.326678
0.488,3.909953,1.322069
0.489,3.911946,1.31747
0.49,3.913918,1.312881
0.491,3.915867,1.308302
0.492,3.917795,1.303734
0.493,3.919702,1.299176
0.494,3.921587,1.294629
0.495,3.923451,1.290092
0.496,3.925294,1.285565
0.497,3.927116,1.281049
0.498,3.928918,1.276543
0.499,3.930699,1.272048
0.5,3.932459,1.267564
0.501,3.9342,1.26309
0.502,3.93592,1.258627
0.503,3.93762,1.254174
0.504,3.939301,1.249733
0.505,3.940961,1.245301
0.506,3.942603,1.240881
0.507,3.944225,1.236471
0.508,3.945827,1.232072
0.509,3.947411,1.227683
0.51,3.948975,1.223306
0.511,3.950521,1.218939
0.512,3.952048,1.214583
0.513,3.953557,1.210238
0.514,3.955047,1.205903
0.515,3.956518,1.201579
0.516,3.957972,1.197266
0.517,3.959408,1.192964
0.518,3.960825,1.188673
0.519,3.962225,1.184393
0.52,3.963608,1.180123
0.521,3.964972,1.175865
