wavelength,n,k
0.291951,4.589574941,4.998623093
0.292624,4.662671934,4.922989273
0.293299,4.727112919,4.844331852
0.293975,4.782961051,4.764130699
0.294652,4.830572277,4.683718863
0.295332,4.870521164,4.604235664
0.296012,4.903534694,4.526592311
0.296695,4.930415983,4.451474068
0.297379,4.951988447,4.379351005
0.298064,4.969043676,4.310510759
0.298751,4.982316854,4.245086637
0.29944,4.992461627,4.183099828
0.30013,5.00004769,4.124489003
0.300822,5.005561215,4.069139554
0.301516,5.009413947,4.016903786
0.302211,5.011950154,3.967618897
0.302907,5.013458795,3.92111593
0.303606,5.014184003,3.877225511
0.304306,5.014330824,3.835783362
0.305007,5.014072424,3.796631514
0.30571,5.013557261,3.759617435
0.306415,5.012912878,3.724594296
0.307121,5.012244562,3.691424107
0.307829,5.011644812,3.659972257
0.308539,5.011189672,3.630111553
0.30925,5.010941352,3.601721356
0.309963,5.010950937,3.574686623
0.310678,5.011260206,3.548897542
0.311394,5.011898441,3.524252669
0.312112,5.012889624,3.500654625
0.312831,5.014248963,3.478013319
0.313552,5.015984826,3.456245251
0.314275,5.018098665,3.435274165
0.315,5.020589387,3.415028576
0.315726,5.023450616,3.395444121
0.316453,5.026672205,3.376462894
0.317183,5.030243108,3.358031821
0.317914,5.034146461,3.340106187
0.318647,5.038369097,3.322643433
0.319382,5.042892535,3.305609258
0.320118,5.047699845,3.288973082
0.320856,5.052774896,3.272708547
0.321595,5.058100671,3.256794538
0.322337,5.063659803,3.241214698
0.32308,5.069440283,3.225953635
0.323825,5.075425479,3.211003148
0.324571,5.081604473,3.196355433
0.325319,5.08796631,3.182006583
0.326069,5.094500812,3.167955865
0.326821,5.101202965,3.154202838
0.327574,5.108066308,3.140751321
0.328329,5.115086274,3.127607178
0.329086,5.122264023,3.114775891
0.329845,5.129597912,3.102267709
0.330605,5.13709267,3.090092011
0.331367,5.144753153,3.078261082
0.332131,5.152587918,3.06678794
0.332897,5.16060592,3.055688304
0.333664,5.168823331,3.044976521
0.334434,5.17725613,3.034669939
0.335205,5.185922995,3.024787092
0.335977,5.194849552,3.015345114
0.336752,5.204063208,3.006362604
0.337528,5.213593625,2.997859113
0.338306,5.223478797,2.989851412
0.339086,5.233757079,2.982357844
0.339868,5.244469983,2.975396513
0.340651,5.255667473,2.968982224
0.341436,5.267397616,2.963132523
0.342224,5.27971591,2.957862906
0.343012,5.292681876,2.95318972
0.343803,5.306356423,2.949133142
0.344596,5.320809661,2.945714953
0.34539,5.336119051,2.94296231
0.346186,5.352374001,2.940908329
0.346984,5.369680114,2.939592891
0.347784,5.388167134,2.93906082
0.348586,5.4079957,2.939359215
0.34939,5.42936291,2.940532777
0.350195,5.452515008,2.942611356
0.351002,5.477751912,2.945596808
0.351811,5.505426759,2.949446488
0.352622,5.535948466,2.954048785
0.353435,5.569768174,2.959201645
0.35425,5.607363296,2.964588426
0.355067,5.649208056,2.969759927
0.355885,5.695742676,2.9741199
0.356706,5.747329431,2.976924415
0.357528,5.804210739,2.977290896
0.358352,5.86646754,2.97422058
0.359178,5.933984445,2.966632268
0.360006,6.006424768,2.953405407
0.360836,6.083209846,2.933433283
0.361668,6.163522444,2.905673658
0.362502,6.246312136,2.869204781
0.363337,6.330318609,2.823276037
0.364175,6.414102144,2.767356052
0.365014,6.496088178,2.701173005
0.365856,6.574614915,2.624749877
0.366699,6.647996613,2.538426632
0.367544,6.714592387,2.442870761
0.368392,6.772872762,2.339075224
0.369241,6.821498113,2.228334751
0.370092,6.859385826,2.112206281
0.370945,6.885770116,1.992450065
0.3718,6.90025005,1.87095361
0.372658,6.902812163,1.749645332
0.373517,6.893829856,1.630402001
0.374378,6.87404463,1.514955953
0.375241,6.844513271,1.404814113
0.376106,6.806540809,1.301191891
0.376973,6.761594114,1.204970384
0.377842,6.711214652,1.116678145
0.378713,6.65692615,1.036500675
0.379586,6.600153275,0.964313699
0.380461,6.542160245,0.899735065
0.381338,6.484007544,0.842189427
0.382217,6.426529915,0.790977566
0.383098,6.370334347,0.745342877
0.383981,6.315824949,0.704527786
0.384866,6.263226325,0.667818996
0.385754,6.212621186,0.634577291
0.386643,6.163991573,0.60425324
0.387534,6.117249411,0.57639192
0.388427,6.072270417,0.550627864
0.389323,6.028915855,0.526674863
0.39022,5.987044787,0.504313097
0.39112,5.946531152,0.483374671
