wavelength,n,k
2.3568,1.40153,8.59e-05
2.3697,1.40059,8.65e-05
2.3784,1.40085,8.78e-05
2.3872,1.4013,8.87e-05
2.396,1.40123,8.93e-05
2.4093,1.40025,9e-05
2.4183,1.39999,8.86e-05
2.4274,1.40019,8.73e-05
2.4365,1.40023,8.74e-05
2.4457,1.39996,8.86e-05
2.4596,1.40067,9.09e-05
2.469,1.40079,9.25e-05
2.4784,1.40062,9.47e-05
2.488,1.4006,9.63e-05
2.4975,1.40048,9.6e-05
2.5072,1.40016,9.61e-05
2.5169,1.40019,9.53e-05
2.5268,1.4006,9.39e-05
2.5366,1.40054,9.3e-05
2.5466,1.39985,9.27e-05
2.5567,1.40021,9.27e-05
2.5668,1.40173,9.35e-05
2.577,1.40186,9.51e-05
2.5873,1.40104,9.61e-05
2.5976,1.40061,9.62e-05
2.6081,1.40038,9.72e-05
2.6186,1.39965,9.94e-05
2.6293,1.39922,0.000101
2.64,1.39972,0.0001
2.6454,1.39994,9.99e-05
2.6562,1.39959,9.95e-05
2.6671,1.3992,0.0001
2.6782,1.39926,0.000102
2.6893,1.39937,0.000104
2.6949,1.39959,0.000104
2.7061,1.40033,0.000105
2.7175,1.40007,0.000106
2.7289,1.39944,0.000106
2.7347,1.39938,0.000106
2.7462,1.39941,0.000106
2.7579,1.3993,0.000106
2.7697,1.39852,0.000106
2.7756,1.3983,0.000107
2.7876,1.39872,0.00011
2.7996,1.39916,0.000111
2.8057,1.39889,0.000111
2.8179,1.39864,0.000112
2.824,1.3986,0.000111
2.8364,1.39851,0.00011
2.8489,1.39865,0.000109
2.8551,1.39858,0.000109
2.8678,1.39841,0.000112
2.8741,1.39869,0.000114
2.8869,1.39932,0.000116
2.8998,1.39932,0.000115
2.9063,1.39864,0.000115
2.9194,1.39762,0.000116
2.926,1.39788,0.000115
2.9393,1.39835,0.000114
2.946,1.39806,0.000114
2.9594,1.39734,0.000115
2.9662,1.39752,0.000115
2.9798,1.39767,0.000118
2.9867,1.39743,0.000119
2.9936,1.39728,0.000119
3.0075,1.39762,0.000117
3.0145,1.39721,0.000117
3.0286,1.39615,0.000118
3.0357,1.39605,0.000118
3.0499,1.39619,0.00012
3.0571,1.39626,0.000121
3.0644,1.39639,0.000122
3.0789,1.39636,0.000124
3.0863,1.39625,0.000124
3.0936,1.3963,0.000124
3.1085,1.39657,0.000127
3.1159,1.39644,0.000128
3.1234,1.39616,0.000128
3.1386,1.39527,0.000127
3.1462,1.3951,0.000128
3.1538,1.39509,0.00013
3.1693,1.3945,0.000133
3.177,1.39405,0.000133
3.1848,1.39347,0.000134
3.1927,1.39302,0.000133
3.2085,1.39298,0.000133
3.2164,1.39262,0.000134
3.2244,1.39218,0.000135
3.2325,1.39191,0.000135
3.2487,1.39158,0.000136
3.2569,1.39172,0.000137
3.2651,1.39194,0.000138
3.2733,1.39179,0.000139
3.2899,1.39027,0.00014
3.2983,1.38924,0.000139
3.3067,1.38815,0.00014
3.3152,1.38676,0.000141
3.3237,1.38491,0.000141
3.3322,1.38222,0.00244
3.3494,1.37405,0.00979
3.3581,1.37256,0.0203
3.3668,1.37977,0.0337
3.3756,1.39637,0.04
3.3844,1.4121,0.033
3.3933,1.41761,0.02
3.4022,1.41487,0.0102
3.4111,1.41002,0.00547
3.4292,1.40419,0.00501
3.4383,1.40432,0.00598
3.4474,1.40513,0.00598
3.4566,1.40522,0.00479
3.4658,1.40439,0.00343
3.4751,1.40322,0.0025
3.4845,1.40227,0.00015
3.4939,1.40173,0.000152
3.5033,1.4014,0.000153
3.5128,1.40095,0.000153
3.5224,1.40081,0.000153
3.532,1.40085,0.000155
3.5416,1.4006,0.000156
3.5513,1.40003,0.000157
3.5611,1.39949,0.000157
3.5709,1.39932,0.000157
3.5807,1.3991,0.000158
3.5907,1.39877,0.000161
3.6006,1.3986,0.000163
3.6107,1.39834,0.000161
3.6207,1.39781,0.000159
3.6309,1.39729,0.00016
3.6411,1.39711,0.000162
3.6513,1.39717,0.000163
3.6617,1.39707,0.000164
3.672,1.39666,0.000166
3.6825,1.39611,0.000167
3.693,1.39591,0.000167
3.7035,1.39598,0.000167
3.7141,1.39592,0.000169
3.7248,1.39573,0.000169
3.7355,1.39559,0.000169
3.7463,1.3954,0.000169
3.7572,1.39498,0.000171
3.7681,1.39472,0.00017
3.7791,1.39478,0.000166
3.7901,1.39487,0.000154
3.8013,1.39474,0.000134
3.8124,1.39447,0.000116
3.8237,1.39429,0.000102
3.835,1.3943,9.18e-05
3.8464,1.39436,8.44e-05
3.8578,1.39434,7.91e-05
3.8693,1.39395,7.54e-05
3.8809,1.39343,7.29e-05
3.8926,1.39316,7.18e-05
3.9043,1.39272,7.19e-05
3.9161,1.3922,7.36e-05
3.928,1.39225,7.7e-05
3.9399,1.3926,8.25e-05
3.9519,1.39268,9.13e-05
3.964,1.39231,0.000106
3.9762,1.39199,0.000128
3.9884,1.39178,0.000157
4.0007,1.39163,0.000178
4.0131,1.39142,0.000172
4.0255,1.39094,0.000143
4.0381,1.39063,0.000115
4.0507,1.3908,9.63e-05
4.0634,1.3908,8.43e-05
4.0762,1.39045,7.67e-05
4.089,1.39006,7.18e-05
4.102,1.39001,6.88e-05
4.115,1.39041,6.71e-05
4.1281,1.39062,6.67e-05
4.1413,1.39029,6.72e-05
4.1546,1.38969,6.86e-05
4.1679,1.38913,7.05e-05
4.1814,1.38894,7.29e-05
4.1949,1.38898,7.53e-05
4.2085,1.38892,7.78e-05
4.2222,1.38772,8.08e-05
4.236,1.38683,8.53e-05
4.2499,1.38882,8.97e-05
4.2639,1.38889,9.29e-05
4.278,1.3878,9.74e-05
4.2921,1.38618,0.000104
4.3064,1.38601,0.000112
4.3208,1.38674,0.000121
4.3352,1.38705,0.000131
4.3498,1.38691,0.000142
4.3644,1.38687,0.000156
4.3791,1.38692,0.000171
4.394,1.38663,0.000186
4.4089,1.38597,0.000195
4.424,1.38574,0.000196
4.4391,1.38604,0.000198
4.4544,1.38614,0.000201
4.4697,1.38572,0.000206
4.4852,1.38522,0.00021
4.5008,1.38514,0.000213
4.5165,1.38485,0.000217
4.5323,1.38397,0.000214
4.5482,1.38331,0.000215
4.5642,1.3831,0.000218
4.5803,1.38277,0.000218
4.5965,1.38221,0.000217
4.6129,1.38172,0.000213
4.6294,1.38192,0.000213
4.646,1.38234,0.000218
4.6627,1.38249,0.000222
4.6795,1.3824,0.000221
4.6965,1.382,0.000221
4.7136,1.38146,0.000217
4.7308,1.38122,0.000221
4.7481,1.38103,0.000226
4.7655,1.38073,0.000226
4.7831,1.38048,0.000227
4.8008,1.3802,0.000231
4.8187,1.38,0.000231
4.8367,1.37982,0.000232
4.8548,1.37949,0.000236
4.873,1.3788,0.000234
4.8914,1.37836,0.000233
4.91,1.37817,0.000234
4.9286,1.37779,0.000232
4.9474,1.37712,0.000235
4.9664,1.37668,0.000241
4.9855,1.3764,0.000236
5.0047,1.37615,0.000237
5.0241,1.37591,0.000239
5.0437,1.37523,0.000243
5.0634,1.37453,0.000241
5.0832,1.37417,0.000246
5.1033,1.37386,0.000244
5.1234,1.37394,0.000244
5.1438,1.37437,0.000253
5.1643,1.37422,0.000243
5.1849,1.37383,0.000243
5.2057,1.37368,0.000252
5.2267,1.37342,0.000251
5.2479,1.37266,0.000252
5.2692,1.37223,0.00025
5.2907,1.37217,0.000253
5.3124,1.37162,0.000264
5.3343,1.37059,0.000263
5.3563,1.3697,0.000251
5.3785,1.3692,0.000254
5.4009,1.36897,0.00026
5.4235,1.36837,0.000263
5.4463,1.36791,0.00026
5.4693,1.36745,0.000262
5.4925,1.36676,0.000265
5.5159,1.36639,0.000266
5.5394,1.36587,0.000261
5.5632,1.36515,0.00026
5.5872,1.36467,0.000263
5.6114,1.36445,0.000272
5.6358,1.36389,0.00027
5.6604,1.36318,0.000269
5.6852,1.36305,0.000266
5.7103,1.36292,0.000266
5.7355,1.36216,0.000265
5.761,1.36095,0.000263
5.7867,1.36027,0.000256
5.8127,1.35951,0.000259
5.8389,1.35865,0.000262
5.8653,1.35813,0.000269
5.8919,1.35738,0.000261
5.9188,1.3567,0.000257
5.946,1.35615,0.000263
5.9734,1.35498,0.000272
6.0011,1.35362,0.00027
6.029,1.35318,0.00158
6.0571,1.35253,0.00169
6.0856,1.35095,0.00179
6.1143,1.34979,0.00187
6.1433,1.3489,0.0023
6.1725,1.34857,0.00312
6.202,1.34858,0.00347
6.2319,1.34772,0.00321
6.262,1.34635,0.00289
6.2924,1.34543,0.00309
6.3231,1.34451,0.0029
6.3541,1.34354,0.0025
6.3854,1.34205,0.00236
6.417,1.3401,0.00202
6.4489,1.3389,0.00208
6.4811,1.33829,0.00218
6.5137,1.33678,0.00236
6.5466,1.33475,0.00288
6.5798,1.33311,0.00285
6.6134,1.33194,0.00226
6.6473,1.32993,0.00165
6.6816,1.32716,0.00235
6.7162,1.32486,0.00278
6.7512,1.32311,0.0026
6.7865,1.32022,0.00332
6.8223,1.31722,0.00444
6.8583,1.31494,0.00622
6.8948,1.31286,0.00844
6.9317,1.31177,0.00882
6.969,1.30936,0.00808
7.0066,1.30483,0.0103
7.0447,1.30248,0.0165
7.0832,1.30565,0.0206
7.1221,1.31037,0.0188
7.1615,1.3115,0.014
7.2013,1.30828,0.00948
7.2415,1.30267,0.00721
7.2822,1.29677,0.00647
7.3233,1.29139,0.00597
7.3649,1.28553,0.00535
7.407,1.27952,0.0045
7.4496,1.2731,0.00406
7.4926,1.26549,0.00431
7.5362,1.25689,0.00523
7.5803,1.24795,0.00662
7.6249,1.23745,0.00802
7.67,1.22494,0.00981
7.7156,1.2069,0.0121
7.7618,1.18413,0.018
7.8086,1.13808,0.0348
7.8559,1.06748,0.174
7.9038,1.12948,0.332
7.9523,1.31678,0.331
8.0014,1.42908,0.174
8.0511,1.37975,0.0562
8.1014,1.31776,0.0296
8.1524,1.27947,0.0275
8.204,1.25281,0.0327
8.2562,1.2319,0.0406
8.3091,1.21718,0.0505
8.3628,1.20669,0.0593
8.4171,1.19601,0.0651
8.4721,1.18153,0.069
8.5278,1.16264,0.0737
8.5843,1.14144,0.0801
8.6415,1.11466,0.0903
8.6995,1.07839,0.108
8.7583,1.03644,0.136
8.8179,0.98841,0.179
8.8783,0.93861,0.245
8.9395,0.90331,0.345
9.0016,0.91252,0.48
9.0645,0.99187,0.617
9.1284,1.12915,0.705
9.1931,1.27934,0.723
9.2588,1.40103,0.686
9.3254,1.4819,0.626
9.393,1.52791,0.568
9.4615,1.55229,0.52
9.5311,1.56542,0.488
9.6017,1.57734,0.477
9.6733,1.60478,0.486
9.7461,1.6711,0.495
9.8199,1.7772,0.457
9.8949,1.85618,0.337
9.971,1.84573,0.198
10.048,1.78137,0.109
10.127,1.71787,0.0663
10.207,1.66621,0.0443
10.288,1.62421,0.0326
10.37,1.58955,0.0255
10.453,1.56062,0.0218
10.538,1.53512,0.0192
10.625,1.5111,0.0176
10.713,1.48717,0.0183
10.802,1.46232,0.0207
10.893,1.43943,0.0264
10.985,1.4192,0.0336
11.079,1.39535,0.0385
11.174,1.36426,0.0472
11.272,1.32833,0.0699
11.37,1.29883,0.115
11.471,1.30236,0.173
11.573,1.3284,0.2
11.678,1.33641,0.206
11.784,1.33717,0.224
11.892,1.33682,0.225
12.002,1.28662,0.242
12.114,1.22965,0.347
12.229,1.25365,0.496
12.345,1.37609,0.645
12.464,1.61053,0.722
12.585,1.86812,0.609
12.708,1.96663,0.359
12.834,1.89804,0.17
12.962,1.79889,0.0977
13.093,1.73529,0.0875
13.227,1.71109,0.0846
13.363,1.69523,0.0627
13.502,1.66708,0.0415
13.645,1.63911,0.0351
13.79,1.61424,0.0355
13.938,1.58891,0.0421
14.0,1.578298783783784,0.04486486486486481
