wavelength,n,k
0.2,1.1450106382978722,0.34654255319148936
0.2066,1.158,0.415
0.2254,1.195,0.61
0.248,1.344,0.754
0.2755,1.518,0.764
0.31,1.638,0.723
0.3542,1.706,0.681
0.4133,1.752,0.678
0.4959,1.807,0.696
0.6199,1.879,0.739
0.8266,1.974,0.816
1.24,2.204,1.04
2.48,2.698,1.18
3.1,2.831,1.22
4.133,2.949,1.29
6.199,3.0,1.51
12.4,2.87,2.79
14.0,2.8364570230607966,3.120269311401387
