wavelength,n,k
0.2,1.5310899999999976,3.242000000000013e-06
0.4,1.50029,3.82e-07
0.41,1.49875,2.39e-07
0.42,1.49752,2.24e-07
0.43,1.4964,2.18e-07
0.44,1.4956,2.05e-07
0.45,1.49443,2.24e-07
0.46,1.49358,2.13e-07
0.47,1.49249,1.97e-07
0.48,1.49161,2.23e-07
0.49,1.49089,2.14e-07
0.5,1.49021,2.24e-07
0.51,1.48946,2.16e-07
0.52,1.48876,2.17e-07
0.53,1.48788,2.18e-07
0.54,1.48759,2.21e-07
0.55,1.48703,2.28e-07
0.56,1.48639,2.25e-07
0.57,1.48587,2.33e-07
0.58,1.48539,2.37e-07
0.59,1.48503,2.29e-07
0.6,1.48432,2.76e-07
0.61,1.48417,2.65e-07
0.62,1.48345,2.56e-07
0.63,1.48306,2.6e-07
0.64,1.48291,2.67e-07
0.65,1.48223,2.56e-07
0.66,1.4823,2.48e-07
0.67,1.48203,2.32e-07
0.68,1.48196,2.3e-07
0.69,1.4816,2.44e-07
0.7,1.48098,2.63e-07
0.71,1.48097,2.57e-07
0.72,1.48072,2.95e-07
0.73,1.48033,2.91e-07
0.74,1.47958,2.78e-07
0.75,1.47977,2.67e-07
0.76,1.47934,2.54e-07
0.77,1.47913,2.13e-07
0.78,1.47847,2.83e-07
0.79,1.4786,2.76e-07
0.8,1.47824,2.68e-07
0.81,1.478,2.56e-07
0.82,1.4786,2.78e-07
0.83,1.47868,3.08e-07
0.84,1.47781,2.48e-07
0.85,1.4785,2.72e-07
0.86,1.47831,3.12e-07
0.87,1.47817,3.78e-07
0.88,1.47791,4.35e-07
0.89,1.4779,5.54e-07
0.9,1.47769,9.13e-07
0.91,1.47765,3.98e-07
0.92,1.47744,9.99e-07
0.93,1.47741,8.66e-07
0.94,1.47716,7.05e-07
0.95,1.47711,7.65e-07
0.96,1.47703,5.37e-07
0.97,1.47693,6.85e-07
0.98,1.47671,1.02e-06
0.99,1.47663,7.44e-07
1.0,1.47668,7.26e-07
1.01,1.47661,1.05e-06
1.02,1.47666,1.06e-06
1.03,1.4748,1.52e-06
1.04,1.47489,1.56e-06
1.05,1.47487,1.32e-06
1.06,1.47483,1.23e-06
1.07,1.47465,1.28e-06
1.08,1.47471,1.28e-06
1.09,1.4746,1.2e-06
1.1,1.47462,1.45e-06
1.11,1.47469,1.84e-06
1.12,1.47487,2.38e-06
1.13,1.47473,3.63e-06
1.14,1.47395,4.84e-06
1.15,1.47355,6.04e-06
1.16,1.47411,7.99e-06
1.17,1.47403,9.59e-06
1.18,1.47423,9.31e-06
1.19,1.47407,6.56e-06
1.2,1.47387,3.67e-06
1.21,1.47304,3.34e-06
1.22,1.47307,2.49e-06
1.23,1.47284,2.26e-06
1.24,1.47324,2.07e-06
1.25,1.47321,1.91e-06
1.26,1.47335,1.64e-06
1.27,1.47376,1.88e-06
1.28,1.47282,1.85e-06
1.29,1.47294,1.83e-06
1.3,1.47227,1.87e-06
1.31,1.47283,1.97e-06
1.32,1.47268,2.26e-06
1.33,1.47237,3.2e-06
1.34,1.47264,7.24e-06
1.35,1.47253,1.02e-05
1.36,1.47257,1.12e-05
1.37,1.47267,1.24e-05
1.38,1.47211,1.33e-05
1.39,1.47205,1.34e-05
1.4,1.47216,1.19e-05
1.41,1.47212,1.14e-05
1.42,1.47238,1.2e-05
1.43,1.47199,1.15e-05
1.44,1.47177,1.01e-05
1.45,1.47218,7.8e-06
1.46,1.47171,6.17e-06
1.47,1.47183,5.46e-06
1.48,1.47228,3.65e-06
1.49,1.4718,4.6e-06
1.5,1.47161,4.04e-06
1.51,1.47123,3.75e-06
1.52,1.47153,3.49e-06
1.53,1.47123,3.49e-06
1.54,1.47142,3.42e-06
1.55,1.47173,3.65e-06
1.56,1.47117,3.95e-06
1.57,1.47119,4.36e-06
1.58,1.4716,4.75e-06
1.59,1.47086,5.26e-06
1.6,1.47101,5.93e-06
1.61,1.471,6.99e-06
1.62,1.47054,9.07e-06
1.63,1.47121,1.04e-05
1.64,1.47092,1.24e-05
1.65,1.47106,1.93e-05
1.66,1.47091,4.28e-05
1.67,1.47053,6.48e-05
1.68,1.4708,8.91e-05
1.69,1.47122,6.59e-05
1.7,1.47077,6.89e-05
1.71,1.47061,6.55e-05
1.72,1.47022,6.68e-05
1.73,1.47045,6e-05
1.74,1.47037,5.18e-05
1.75,1.47063,4.29e-05
1.76,1.46976,3.5e-05
1.77,1.46997,3.23e-05
1.78,1.46999,3.5e-05
1.79,1.46979,3.25e-05
1.8,1.47008,2.71e-05
1.81,1.47058,2.29e-05
1.82,1.47041,2.12e-05
1.83,1.47017,2.1e-05
1.84,1.46921,2.14e-05
1.85,1.46995,2.33e-05
1.86,1.4693,2.52e-05
1.87,1.46961,2.38e-05
1.88,1.4694,2.58e-05
1.89,1.46962,3.65e-05
1.9,1.46936,6.02e-05
1.91,1.46988,6.83e-05
1.92,1.46957,4.59e-05
1.93,1.4695,3.43e-05
1.94,1.46925,3.62e-05
1.95,1.46861,3.92e-05
1.96,1.46898,3.06e-05
1.97,1.46925,2.45e-05
1.98,1.46912,2.27e-05
1.99,1.46904,2.26e-05
2.0,1.46937,2.31e-05
2.0097,1.45993,2.2e-05
2.019,1.45914,2.25e-05
2.0285,1.46173,2.31e-05
2.0381,1.46239,2.39e-05
2.0478,1.46089,2.47e-05
2.0575,1.46005,2.59e-05
2.0673,1.46034,2.66e-05
2.0773,1.46085,2.84e-05
2.0873,1.46377,3.32e-05
2.0975,1.46681,3.41e-05
2.1077,1.46716,4.1e-05
2.118,1.46714,4.94e-05
2.1285,1.46843,5.1e-05
2.139,1.46818,5.49e-05
2.1496,1.46639,5.44e-05
2.1568,1.46565,5.22e-05
2.1676,1.46412,5.33e-05
2.1785,1.46385,5.42e-05
2.1896,1.46642,6.12e-05
2.197,1.46709,7.39e-05
2.2082,1.46738,9.33e-05
2.2196,1.46875,0.000796
2.2272,1.46883,0.000584
2.2387,1.46814,9.36e-05
2.2465,1.46723,9e-05
2.2582,1.46572,0.000464
2.2661,1.46655,0.000228
2.2781,1.4677,0.000442
2.2861,1.46723,0.00121
2.2983,1.46619,0.00129
2.3065,1.46614,0.00111
2.3188,1.46679,0.00184
2.3272,1.46796,0.00175
2.3398,1.46798,0.000638
2.3482,1.46708,0.000677
2.3568,1.46696,0.00137
2.3697,1.46732,0.00237
2.3784,1.46808,0.00137
2.3872,1.46974,0.00073
2.396,1.47063,0.000714
2.4093,1.46856,0.00195
2.4183,1.468,0.00238
2.4274,1.46839,0.00202
2.4365,1.46858,0.0013
2.4457,1.46679,0.0014
2.4596,1.4662,0.00216
2.469,1.46755,0.00202
2.4784,1.46864,0.00168
2.488,1.46882,0.00161
2.4975,1.46695,0.00183
2.5072,1.46583,0.00232
2.5169,1.4658,0.00329
2.5268,1.46612,0.00275
2.5366,1.46805,0.000888
2.5466,1.46942,0.00104
2.5567,1.46876,0.00172
2.5668,1.46766,0.00109
2.577,1.46683,0.000807
2.5873,1.46615,0.000891
2.5976,1.46581,0.000526
2.6081,1.46627,0.00061
2.6186,1.46686,0.000834
2.6293,1.46644,0.00161
2.64,1.46636,0.00212
2.6454,1.46679,0.00209
2.6562,1.46669,0.00157
2.6671,1.46483,0.00074
2.6782,1.46383,0.000575
2.6893,1.4644,0.00198
2.6949,1.4646,0.00221
2.7061,1.46539,0.00234
2.7175,1.46683,0.00296
2.7289,1.46697,0.00254
2.7347,1.46668,0.00176
2.7462,1.46552,0.00121
2.7579,1.46574,0.000883
2.7697,1.46745,0.000278
2.7756,1.46763,0.000202
2.7876,1.46672,1.21e-05
2.7996,1.46537,3.34e-05
2.8057,1.46494,0.000817
2.8179,1.46451,0.000995
2.824,1.46484,0.00127
2.8364,1.46659,0.00144
2.8489,1.46689,0.00109
2.8551,1.4665,0.000516
2.8678,1.46563,0.000254
2.8741,1.465,0.000584
2.8869,1.46319,0.00152
2.8998,1.46203,0.00231
2.9063,1.46195,0.00271
2.9194,1.46301,0.00318
2.926,1.46388,0.00284
2.9393,1.46534,0.00165
2.946,1.46554,0.00148
2.9594,1.46605,0.00237
2.9662,1.46565,0.0027
2.9798,1.46421,0.00122
2.9867,1.46338,0.000775
2.9936,1.46244,0.00108
3.0075,1.4611,0.0014
3.0145,1.46121,0.00108
3.0286,1.4615,0.000557
3.0357,1.4621,0.000325
3.0499,1.46219,0.000328
3.0571,1.46222,0.00123
3.0644,1.46249,0.00206
3.0789,1.46294,0.00151
3.0863,1.46312,0.000663
3.0936,1.46318,0.000153
3.1085,1.46273,0.000347
3.1159,1.46233,0.000684
3.1234,1.46212,0.000856
3.1386,1.46233,0.00108
3.1462,1.46284,0.00129
3.1538,1.46236,0.00154
3.1693,1.45969,0.00144
3.177,1.45917,0.00138
3.1848,1.45934,0.0014
3.1927,1.45938,0.00155
3.2085,1.45857,0.00108
3.2164,1.45791,0.000658
3.2244,1.45699,0.000749
3.2325,1.45603,0.001
3.2487,1.45454,0.00188
3.2569,1.45332,0.00258
3.2651,1.45179,0.00353
3.2733,1.45018,0.00448
3.2899,1.44773,0.0073
3.2983,1.44665,0.00977
3.3067,1.44544,0.0133
3.3152,1.44523,0.0178
3.3237,1.4472,0.0227
3.3322,1.45162,0.0261
3.3494,1.46059,0.0245
3.3581,1.4609,0.0215
3.3668,1.4587,0.0217
3.3756,1.45835,0.0267
3.3844,1.46348,0.0331
3.3933,1.47214,0.0343
3.4022,1.47839,0.0297
3.4111,1.4804,0.0242
3.4292,1.48225,0.0174
3.4383,1.48271,0.0145
3.4474,1.48174,0.0119
3.4566,1.4803,0.0093
3.4658,1.47951,0.00707
3.4751,1.47891,0.00593
3.4845,1.47831,0.00532
3.4939,1.47727,0.00472
3.5033,1.47591,0.00483
3.5128,1.47502,0.00533
3.5224,1.47511,0.00523
3.532,1.47544,0.00435
3.5416,1.47559,0.00308
3.5513,1.47546,0.0022
3.5611,1.47457,0.00203
3.5709,1.47313,0.0021
3.5807,1.47174,0.00187
3.5907,1.47069,0.00139
3.6006,1.47052,0.00144
3.6107,1.47086,0.00229
3.6207,1.4705,0.00257
3.6309,1.46962,0.00165
3.6411,1.46913,0.000709
3.6513,1.4689,0.000612
3.6617,1.46868,0.000829
3.672,1.46835,0.000632
3.6825,1.46822,0.000751
3.693,1.46821,0.00102
3.7035,1.46816,0.000892
3.7141,1.468,0.000481
3.7248,1.46754,0.000151
3.7355,1.46731,7.01e-05
3.7463,1.46714,0.00017
3.7572,1.46713,0.000466
3.7681,1.46691,0.000652
3.7791,1.46626,0.00105
3.7901,1.46571,0.00129
3.8013,1.46532,0.00115
3.8124,1.46539,0.00118
3.8237,1.46552,0.00146
3.835,1.46562,0.00126
3.8464,1.46572,0.00101
3.8578,1.46539,0.00109
3.8693,1.46529,0.00117
3.8809,1.4654,0.000925
3.8926,1.46555,0.000795
